Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret,mu_KDA,mu_Gold,mu_Level,mu_Partisipation,mu_Damage_Dealt,mu_Damage_Taken,mu_Damage_Turret
Reyy,Jungler,Ling,14.0,10540,15,0.78,29512,30466,3192,"[0, 0.35, 0.65]","[0, 0.91, 0.09]","[0, 0, 1.0]","[0, 0.78, 0.22]","[0.01, 0.99, 0]","[0.98, 0.02, 0]","[0, 0.47, 0.53]"
1rrad,Jungler,Baxia,0.6,4871,10,0.75,18400,97319,0,"[0.88, 0.12, 0]","[0.99, 0.01, 0]","[1.0, 0, 0]","[0, 0.89, 0.11]","[0.57, 0.43, 0]","[0.31, 0.69, 0]","[1.0, 0, 0]"
Reyy,Jungler,Baxia,4.5,9158,15,0.6,23978,100989,595,"[0.08, 0.92, 0]","[0.14, 0.86, 0]","[0, 0, 1.0]","[0.37, 0.63, 0]","[0.29, 0.71, 0]","[0.28, 0.72, 0]","[0.25, 0.75, 0]"
1rrad,Jungler,Fredrinn,1.0,7953,14,0.6,33132,113436,0,"[0.8, 0.2, 0]","[0.38, 0.62, 0]","[0.12, 0.88, 0]","[0.37, 0.63, 0]","[0, 0.86, 0.14]","[0.15, 0.85, 0]","[1.0, 0, 0]"
Reyy,Jungler,Barats,3.0,9201,15,0.4,35704,157654,0,"[0.39, 0.61, 0]","[0.13, 0.87, 0]","[0, 0, 1.0]","[1.0, 0, 0]","[0, 0.75, 0.25]","[0, 0.83, 0.17]","[1.0, 0, 0]"
1rrad,Jungler,Fredrinn,3.0,10663,15,0.47,34206,102486,263,"[0.39, 0.61, 0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0.78, 0.22, 0]","[0, 0.82, 0.18]","[0.26, 0.74, 0]","[0.67, 0.33, 0]"
Reyy,Jungler,Baxia,6.7,9831,15,0.95,42127,170198,0,"[0, 0.87, 0.13]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0, 0.18, 0.82]","[0, 0.49, 0.51]","[0, 0.76, 0.24]","[1.0, 0, 0]"
1rrad,Jungler,Fredrinn,7.5,12186,15,0.65,54023,151360,522,"[0, 0.82, 0.18]","[0, 0.68, 0.32]","[0, 0, 1.0]","[0.22, 0.78, 0]","[0, 0, 1.0]","[0, 0.87, 0.13]","[0.34, 0.66, 0]"
Reyy,Jungler,Fredrinn,3.7,11347,15,0.79,23927,107827,222,"[0.25, 0.75, 0]","[0, 0.79, 0.21]","[0, 0, 1.0]","[0, 0.75, 0.25]","[0.29, 0.71, 0]","[0.21, 0.79, 0]","[0.72, 0.28, 0]"
1rrad,Jungler,Akai,1.7,10680,15,0.5,18172,114206,1226,"[0.65, 0.35, 0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0.69, 0.31, 0]","[0.59, 0.41, 0]","[0.14, 0.86, 0]","[0, 0.9, 0.1]"
Gugunnn,Jungler,Baxia,2.7,14929,15,0.89,51170,245431,0,"[0.45, 0.55, 0]","[0, 0.29, 0.71]","[0, 0, 1.0]","[0, 0.39, 0.61]","[0, 0.12, 0.88]","[0, 0.32, 0.68]","[1.0, 0, 0]"
Anavel,Jungler,Akai,2.0,16753,15,0.4,26490,253377,651,"[0.59, 0.41, 0]","[0, 0.03, 0.97]","[0, 0, 1.0]","[1.0, 0, 0]","[0.16, 0.84, 0]","[0, 0.27, 0.73]","[0.17, 0.83, 0]"
Gugunnn,Jungler,Baxia,2.2,7645,15,0.82,22231,95402,0,"[0.55, 0.45, 0]","[0.44, 0.56, 0]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0.38, 0.62, 0]","[0.33, 0.67, 0]","[1.0, 0, 0]"
Gugunnn,Jungler,Baxia,2.0,4809,11,0.5,11759,66135,0,"[0.59, 0.41, 0]","[1.0, 0, 0]","[0.78, 0.22, 0]","[0.69, 0.31, 0]","[0.91, 0.09, 0]","[0.63, 0.37, 0]","[1.0, 0, 0]"
Kairi,Jungler,Baxia,7.5,10408,15,0.75,22940,73301,1026,"[0, 0.82, 0.18]","[0, 0.93, 0.07]","[0, 0, 1.0]","[0, 0.89, 0.11]","[0.34, 0.66, 0]","[0.55, 0.45, 0]","[0, 0.95, 0.05]"
Reyy,Jungler,Fredrinn,1.5,8721,15,0.47,20997,101505,0,"[0.69, 0.31, 0]","[0.23, 0.77, 0]","[0, 0, 1.0]","[0.78, 0.22, 0]","[0.44, 0.56, 0]","[0.27, 0.73, 0]","[1.0, 0, 0]"
Kairi,Jungler,Baxia,8.0,10600,15,0.84,39591,221057,0,"[0, 0.78, 0.22]","[0, 0.9, 0.1]","[0, 0, 1.0]","[0, 0.57, 0.43]","[0, 0.59, 0.41]","[0, 0.46, 0.54]","[1.0, 0, 0]"
Reyy,Jungler,Fredrinn,2.6,11463,15,0.72,48051,176492,1009,"[0.47, 0.53, 0]","[0, 0.78, 0.22]","[0, 0, 1.0]","[0, 1.0, 0.0]","[0, 0.25, 0.75]","[0, 0.72, 0.28]","[0, 0.95, 0.05]"
Kairi,Jungler,Akai,1.0,7015,14,0.75,22160,181382,0,"[0.8, 0.2, 0]","[0.57, 0.43, 0]","[0.12, 0.88, 0]","[0, 0.89, 0.11]","[0.38, 0.62, 0]","[0, 0.69, 0.31]","[1.0, 0, 0]"
Reyy,Jungler,Fredrinn,12.0,8865,15,1.0,39867,119526,1416,"[0, 0.5, 0.5]","[0.2, 0.8, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.58, 0.42]","[0.09, 0.91, 0]","[0, 0.86, 0.14]"
Reyy,Jungler,Barats,3.5,9871,15,0.64,37786,113227,133,"[0.29, 0.71, 0]","[0.0, 1.0, 0]","[0, 0, 1.0]","[0.25, 0.75, 0]","[0, 0.67, 0.33]","[0.15, 0.85, 0]","[0.83, 0.17, 0]"
Kairi,Jungler,Baxia,8.0,8974,15,1.0,20010,82772,0,"[0, 0.78, 0.22]","[0.18, 0.82, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0.49, 0.51, 0]","[0.46, 0.54, 0]","[1.0, 0, 0]"
Reyy,Jungler,Barats,1.5,7745,14,0.75,29262,150733,944,"[0.69, 0.31, 0]","[0.42, 0.58, 0]","[0.12, 0.88, 0]","[0, 0.89, 0.11]","[0.02, 0.98, 0]","[0, 0.87, 0.13]","[0, 0.97, 0.03]"
Super Kenn,Jungler,Fredrinn,1.0,7206,14,1.0,30307,102122,0,"[0.8, 0.2, 0]","[0.53, 0.47, 0]","[0.12, 0.88, 0]","[0, 0, 1.0]","[0, 0.98, 0.02]","[0.26, 0.74, 0]","[1.0, 0, 0]"
Anavel,Jungler,Baxia,6.5,8360,15,0.76,30709,146212,528,"[0, 0.89, 0.11]","[0.3, 0.7, 0]","[0, 0, 1.0]","[0, 0.85, 0.15]","[0, 0.96, 0.04]","[0, 0.9, 0.1]","[0.33, 0.67, 0]"
Anavel,Jungler,Fredrinn,10.0,9116,15,0.59,19028,94321,2217,"[0, 0.64, 0.36]","[0.15, 0.85, 0]","[0, 0, 1.0]","[0.4, 0.6, 0]","[0.54, 0.46, 0]","[0.34, 0.66, 0]","[0, 0.68, 0.32]"
Super Kenn,Jungler,Baxia,2.8,8178,15,0.55,25203,96747,0,"[0.43, 0.57, 0]","[0.34, 0.66, 0]","[0, 0, 1.0]","[0.53, 0.47, 0]","[0.23, 0.77, 0]","[0.32, 0.68, 0]","[1.0, 0, 0]"
Anavel,Jungler,Fredrinn,1.3,8588,14,0.9,30542,181628,0,"[0.74, 0.26, 0]","[0.26, 0.74, 0]","[0.12, 0.88, 0]","[0, 0.36, 0.64]","[0, 0.97, 0.03]","[0, 0.69, 0.31]","[1.0, 0, 0]"
Super Kenn,Jungler,Baxia,3.0,6626,13,1.0,12354,46012,0,"[0.39, 0.61, 0]","[0.64, 0.36, 0]","[0.34, 0.66, 0]","[0, 0, 1.0]","[0.88, 0.12, 0]","[0.83, 0.17, 0]","[1.0, 0, 0]"
Super Kenn,Jungler,Barats,1.7,9205,15,0.56,33392,126795,0,"[0.65, 0.35, 0]","[0.13, 0.87, 0]","[0, 0, 1.0]","[0.5, 0.5, 0]","[0, 0.85, 0.15]","[0.02, 0.98, 0]","[1.0, 0, 0]"
Reyy,Jungler,Fredrinn,19.0,10151,15,0.9,29729,111585,3194,"[0, 0, 1.0]","[0, 0.96, 0.04]","[0, 0, 1.0]","[0, 0.36, 0.64]","[0, 1.0, 0.0]","[0.17, 0.83, 0]","[0, 0.47, 0.53]"
Super Kenn,Jungler,Barats,3.3,8750,15,0.83,41573,133795,400,"[0.33, 0.67, 0]","[0.22, 0.78, 0]","[0, 0, 1.0]","[0, 0.6, 0.4]","[0, 0.51, 0.49]","[0, 0.97, 0.03]","[0.49, 0.51, 0]"
Reyy,Jungler,Fredrinn,17.0,10418,15,0.94,34318,146998,774,"[0, 0.14, 0.86]","[0, 0.92, 0.08]","[0, 0, 1.0]","[0, 0.21, 0.79]","[0, 0.81, 0.19]","[0, 0.89, 0.11]","[0.02, 0.98, 0]"
Super Kenn,Jungler,Baxia,5.0,11620,15,0.71,33251,245828,0,"[0, 0.99, 0.01]","[0, 0.76, 0.24]","[0, 0, 1.0]","[0.03, 0.97, 0]","[0, 0.85, 0.15]","[0, 0.32, 0.68]","[1.0, 0, 0]"
Reyy,Jungler,Fredrinn,5.5,12865,15,0.73,27860,157078,647,"[0, 0.96, 0.04]","[0, 0.58, 0.42]","[0, 0, 1.0]","[0, 0.96, 0.04]","[0.09, 0.91, 0]","[0, 0.83, 0.17]","[0.18, 0.82, 0]"
Kairi,Jungler,Baxia,11.0,7736,15,0.79,33863,102298,0,"[0, 0.57, 0.43]","[0.42, 0.58, 0]","[0, 0, 1.0]","[0, 0.75, 0.25]","[0, 0.83, 0.17]","[0.26, 0.74, 0]","[1.0, 0, 0]"
Anavel,Jungler,Akai,1.0,6132,12,0.6,12412,117648,0,"[0.8, 0.2, 0]","[0.74, 0.26, 0]","[0.56, 0.44, 0]","[0.37, 0.63, 0]","[0.88, 0.12, 0]","[0.11, 0.89, 0]","[1.0, 0, 0]"
Anavel,Jungler,Ling,1.5,6440,13,0.6,21532,28760,0,"[0.69, 0.31, 0]","[0.68, 0.32, 0]","[0.34, 0.66, 0]","[0.37, 0.63, 0]","[0.41, 0.59, 0]","[1.0, 0, 0]","[1.0, 0, 0]"
Anavel,Jungler,Baxia,0.7,8588,15,0.57,33193,171421,0,"[0.86, 0.14, 0]","[0.26, 0.74, 0]","[0, 0, 1.0]","[0.47, 0.53, 0]","[0, 0.86, 0.14]","[0, 0.75, 0.25]","[1.0, 0, 0]"
Reyy,Jungler,Fredrinn,14.0,12223,15,0.67,24088,100575,2757,"[0, 0.35, 0.65]","[0, 0.67, 0.33]","[0, 0, 1.0]","[0.15, 0.85, 0]","[0.29, 0.71, 0]","[0.28, 0.72, 0]","[0, 0.56, 0.44]"
Reyy,Jungler,Fredrinn,0.3,6507,13,0.5,16350,81097,0,"[0.94, 0.06, 0]","[0.67, 0.33, 0]","[0.34, 0.66, 0]","[0.69, 0.31, 0]","[0.68, 0.32, 0]","[0.48, 0.52, 0]","[1.0, 0, 0]"
Reyy,Jungler,Fredrinn,12.0,11002,15,0.75,18072,72594,5295,"[0, 0.5, 0.5]","[0, 0.84, 0.16]","[0, 0, 1.0]","[0, 0.89, 0.11]","[0.59, 0.41, 0]","[0.56, 0.44, 0]","[0, 0, 1.0]"
Anavel,Jungler,Fredrinn,3.7,10568,15,0.61,33684,179690,1388,"[0.25, 0.75, 0]","[0, 0.9, 0.1]","[0, 0, 1.0]","[0.34, 0.66, 0]","[0, 0.84, 0.16]","[0, 0.7, 0.3]","[0, 0.87, 0.13]"
Reyy,Jungler,Ling,3.0,16335,15,0.86,44202,57347,2410,"[0.39, 0.61, 0]","[0, 0.09, 0.91]","[0, 0, 1.0]","[0, 0.5, 0.5]","[0, 0.4, 0.6]","[0.71, 0.29, 0]","[0, 0.64, 0.36]"
Reyy,Jungler,Fredrinn,7.0,15931,15,0.82,39194,299876,1115,"[0, 0.85, 0.15]","[0, 0.15, 0.85]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0, 0.61, 0.39]","[0, 0, 1.0]","[0, 0.93, 0.07]"
Kairi,Jungler,Fredrinn,1.3,9710,15,0.61,29620,169518,2970,"[0.74, 0.26, 0]","[0.03, 0.97, 0]","[0, 0, 1.0]","[0.34, 0.66, 0]","[0.0, 1.0, 0]","[0, 0.76, 0.24]","[0, 0.52, 0.48]"
Kairi,Jungler,Fredrinn,3.0,12613,15,0.63,41341,162003,531,"[0.39, 0.61, 0]","[0, 0.62, 0.38]","[0, 0, 1.0]","[0.28, 0.72, 0]","[0, 0.52, 0.48]","[0, 0.8, 0.2]","[0.33, 0.67, 0]"
Anavel,Jungler,Ling,4.5,16994,15,0.82,49951,71724,2140,"[0.08, 0.92, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0, 0.17, 0.83]","[0.57, 0.43, 0]","[0, 0.7, 0.3]"
Kairi,Jungler,Ling,1.2,11250,15,1.0,27774,51925,0,"[0.76, 0.24, 0]","[0, 0.81, 0.19]","[0, 0, 1.0]","[0, 0, 1.0]","[0.1, 0.9, 0]","[0.77, 0.23, 0]","[1.0, 0, 0]"
Anavel,Jungler,Fredrinn,5.0,9705,15,0.59,29618,169516,2968,"[0, 0.99, 0.01]","[0.04, 0.96, 0]","[0, 0, 1.0]","[0.4, 0.6, 0]","[0.0, 1.0, 0]","[0, 0.76, 0.24]","[0, 0.52, 0.48]"
Anavel,Jungler,Fredrinn,10.0,11091,15,0.91,34586,162557,1072,"[0, 0.64, 0.36]","[0, 0.83, 0.17]","[0, 0, 1.0]","[0, 0.32, 0.68]","[0, 0.8, 0.2]","[0, 0.8, 0.2]","[0, 0.94, 0.06]"
Kairi,Jungler,Baxia,5.0,9136,15,0.61,21407,98864,171,"[0, 0.99, 0.01]","[0.15, 0.85, 0]","[0, 0, 1.0]","[0.34, 0.66, 0]","[0.42, 0.58, 0]","[0.3, 0.7, 0]","[0.78, 0.22, 0]"
Anavel,Jungler,Fredrinn,0.0,6583,13,0.67,9987,100321,0,"[1.0, 0, 0]","[0.65, 0.35, 0]","[0.34, 0.66, 0]","[0.15, 0.85, 0]","[1.0, 0, 0]","[0.28, 0.72, 0]","[1.0, 0, 0]"
Aboy,Midlane,Faramis,17.0,7649,12,0.94,48185,40293,3997,"[0, 0.09, 0.91]","[0.48, 0.52, 0]","[0.54, 0.46, 0]","[0, 0.29, 0.71]","[0.41, 0.59, 0]","[0.2, 0.8, 0]","[0, 0.49, 0.51]"
Clayyy,Midlane,Valentina,1.3,4631,10,1.0,23804,51091,0,"[0.81, 0.19, 0]","[1.0, 0, 0]","[1.0, 0, 0]","[0, 0, 1.0]","[0.93, 0.07, 0]","[0, 0.96, 0.04]","[1.0, 0, 0]"
Clayyy,Midlane,Luo Yi,1.7,7839,13,1.0,57285,51650,0,"[0.76, 0.24, 0]","[0.44, 0.56, 0]","[0.31, 0.69, 0]","[0, 0, 1.0]","[0.22, 0.78, 0]","[0, 0.95, 0.05]","[1.0, 0, 0]"
Aboy,Midlane,Luo Yi,3.0,9197,15,0.6,56420,75910,900,"[0.57, 0.43, 0]","[0.21, 0.79, 0]","[0, 0, 1.0]","[0.25, 0.75, 0]","[0.24, 0.76, 0]","[0, 0.58, 0.42]","[0.43, 0.57, 0]"
Aboy,Midlane,Faramis,2.9,10934,15,0.95,89797,95834,3046,"[0.58, 0.42, 0]","[0, 0.93, 0.07]","[0, 0, 1.0]","[0, 0.24, 0.76]","[0, 0.81, 0.19]","[0, 0.28, 0.72]","[0, 0.69, 0.31]"
Clayyy,Midlane,Luo Yi,11.5,12264,15,1.0,114415,54044,4091,"[0, 0.59, 0.41]","[0, 0.76, 0.24]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.6, 0.4]","[0, 0.92, 0.08]","[0, 0.47, 0.53]"
Clayyy,Midlane,Luo Yi,2.5,10976,15,0.5,75709,48291,1583,"[0.64, 0.36, 0]","[0, 0.92, 0.08]","[0, 0, 1.0]","[0.37, 0.63, 0]","[0, 0.93, 0.07]","[0.01, 0.99, 0]","[0, 1.0, 0.0]"
Yehezkiel,Midlane,Novaria,17.0,17571,15,0.94,186209,26583,1434,"[0, 0.09, 0.91]","[0, 0.07, 0.93]","[0, 0, 1.0]","[0, 0.29, 0.71]","[0, 0, 1.0]","[0.53, 0.47, 0]","[0.09, 0.91, 0]"
Clawkun,Midlane,Luo Yi,5.0,16864,15,0.75,133413,78391,1632,"[0.28, 0.72, 0]","[0, 0.17, 0.83]","[0, 0, 1.0]","[0.06, 0.94, 0]","[0, 0.44, 0.56]","[0, 0.55, 0.45]","[0, 0.99, 0.01]"
Clawkun,Midlane,Luo Yi,2.7,7813,14,0.8,47513,40132,4473,"[0.61, 0.39, 0]","[0.45, 0.55, 0]","[0.08, 0.92, 0]","[0, 0.98, 0.02]","[0.43, 0.57, 0]","[0.2, 0.8, 0]","[0, 0.39, 0.61]"
Yehezkiel,Midlane,Novaria,1.0,5501,11,0.25,20601,8670,0,"[0.86, 0.14, 0]","[0.85, 0.15, 0]","[0.77, 0.23, 0]","[0.69, 0.31, 0]","[1.0, 0, 0]","[0.96, 0.04, 0]","[1.0, 0, 0]"
Clawkun,Midlane,Luo Yi,5.0,6265,12,0.56,29603,18792,0,"[0.28, 0.72, 0]","[0.72, 0.28, 0]","[0.54, 0.46, 0]","[0.3, 0.7, 0]","[0.81, 0.19, 0]","[0.72, 0.28, 0]","[1.0, 0, 0]"
Aboy,Midlane,Luo Yi,4.0,9614,15,0.84,42560,62424,0,"[0.43, 0.57, 0]","[0.13, 0.87, 0]","[0, 0, 1.0]","[0, 0.78, 0.22]","[0.53, 0.47, 0]","[0, 0.79, 0.21]","[1.0, 0, 0]"
Sanz,Midlane,Pharsa,6.5,10829,15,0.68,56970,53275,0,"[0.07, 0.93, 0]","[0, 0.94, 0.06]","[0, 0, 1.0]","[0.14, 0.86, 0]","[0.22, 0.78, 0]","[0, 0.93, 0.07]","[1.0, 0, 0]"
Aboy,Midlane,Novaria,17.0,14486,15,0.94,92605,14767,6299,"[0, 0.09, 0.91]","[0, 0.47, 0.53]","[0, 0, 1.0]","[0, 0.29, 0.71]","[0, 0.79, 0.21]","[0.81, 0.19, 0]","[0, 0, 1.0]"
Sanz,Midlane,Faramis,1.0,7541,13,0.75,51066,101965,0,"[0.86, 0.14, 0]","[0.49, 0.51, 0]","[0.31, 0.69, 0]","[0.06, 0.94, 0]","[0.35, 0.65, 0]","[0, 0.18, 0.82]","[1.0, 0, 0]"
Aboy,Midlane,Novaria,10.0,9662,15,0.83,57765,29619,4939,"[0, 0.72, 0.28]","[0.13, 0.87, 0]","[0, 0, 1.0]","[0, 0.83, 0.17]","[0.21, 0.79, 0]","[0.46, 0.54, 0]","[0, 0.29, 0.71]"
Sanz,Midlane,Luo Yi,6.0,11028,15,0.86,84912,44413,2599,"[0.14, 0.86, 0]","[0, 0.92, 0.08]","[0, 0, 1.0]","[0, 0.68, 0.32]","[0, 0.85, 0.15]","[0.1, 0.9, 0]","[0, 0.78, 0.22]"
Aboy,Midlane,Novaria,2.5,10807,15,0.91,49270,38112,366,"[0.64, 0.36, 0]","[0, 0.95, 0.05]","[0, 0, 1.0]","[0, 0.44, 0.56]","[0.39, 0.61, 0]","[0.25, 0.75, 0]","[0.77, 0.23, 0]"
Sanz,Midlane,Pharsa,6.0,10394,15,0.75,86867,21244,1883,"[0.14, 0.86, 0]","[0, 1.0, 0.0]","[0, 0, 1.0]","[0.06, 0.94, 0]","[0, 0.84, 0.16]","[0.66, 0.34, 0]","[0, 0.94, 0.06]"
Aboy,Midlane,Faramis,3.0,7952,14,0.75,43228,96695,2300,"[0.57, 0.43, 0]","[0.42, 0.58, 0]","[0.08, 0.92, 0]","[0.06, 0.94, 0]","[0.52, 0.48, 0]","[0, 0.27, 0.73]","[0, 0.85, 0.15]"
Moreno,Midlane,Valentina,2.5,6907,13,1.0,34426,38638,285,"[0.64, 0.36, 0]","[0.6, 0.4, 0]","[0.31, 0.69, 0]","[0, 0, 1.0]","[0.71, 0.29, 0]","[0.24, 0.76, 0]","[0.82, 0.18, 0]"
Clawkun,Midlane,Novaria,16.0,9743,15,0.94,51141,7057,3425,"[0, 0.18, 0.82]","[0.11, 0.89, 0]","[0, 0, 1.0]","[0, 0.29, 0.71]","[0.35, 0.65, 0]","[1.0, 0, 0]","[0, 0.61, 0.39]"
Moreno,Midlane,Pharsa,3.0,6983,13,0.75,42960,24770,0,"[0.57, 0.43, 0]","[0.59, 0.41, 0]","[0.31, 0.69, 0]","[0.06, 0.94, 0]","[0.52, 0.48, 0]","[0.57, 0.43, 0]","[1.0, 0, 0]"
Clawkun,Midlane,Valentina,10.0,9038,15,0.59,36348,32526,2485,"[0, 0.72, 0.28]","[0.23, 0.77, 0]","[0, 0, 1.0]","[0.26, 0.74, 0]","[0.66, 0.34, 0]","[0.39, 0.61, 0]","[0, 0.81, 0.19]"
Clawkun,Midlane,Novaria,8.0,9425,14,0.8,71601,22987,1266,"[0, 0.91, 0.09]","[0.17, 0.83, 0]","[0.08, 0.92, 0]","[0, 0.98, 0.02]","[0, 0.97, 0.03]","[0.62, 0.38, 0]","[0.2, 0.8, 0]"
Clawkun,Midlane,Valentina,9.0,7693,13,0.9,33386,27854,3139,"[0, 0.82, 0.18]","[0.47, 0.53, 0]","[0.31, 0.69, 0]","[0, 0.49, 0.51]","[0.73, 0.27, 0]","[0.5, 0.5, 0]","[0, 0.67, 0.33]"
Moreno,Midlane,Valentina,1.8,8139,14,0.78,39585,60079,1628,"[0.74, 0.26, 0]","[0.39, 0.61, 0]","[0.08, 0.92, 0]","[0.02, 0.98, 0]","[0.6, 0.4, 0]","[0, 0.82, 0.18]","[0, 0.99, 0.01]"
Aboy,Midlane,Luo Yi,10.0,9700,15,0.95,78766,53140,2053,"[0, 0.72, 0.28]","[0.12, 0.88, 0]","[0, 0, 1.0]","[0, 0.24, 0.76]","[0, 0.91, 0.09]","[0, 0.93, 0.07]","[0, 0.9, 0.1]"
