Player_Name,Hero_Pick,Player_Role,mu_KDA,mu_Gold,mu_Level,mu_Partisipation,mu_Damage_Dealt,mu_Damage_Taken,mu_Damage_Turret
Reyy,Ling,Jungler,"[0, 0.35, 0.65]","[0, 0.91, 0.09]","[0, 0, 1.0]","[0, 0.78, 0.22]","[0.01, 0.99, 0]","[0.98, 0.02, 0]","[0, 0.47, 0.53]"
1rrad,Baxia,Jungler,"[0.88, 0.12, 0]","[0.99, 0.01, 0]","[1.0, 0, 0]","[0, 0.89, 0.11]","[0.57, 0.43, 0]","[0.31, 0.69, 0]","[1.0, 0, 0]"
Reyy,Baxia,Jungler,"[0.08, 0.92, 0]","[0.14, 0.86, 0]","[0, 0, 1.0]","[0.37, 0.63, 0]","[0.29, 0.71, 0]","[0.28, 0.72, 0]","[0.25, 0.75, 0]"
1rrad,Fredrinn,Jungler,"[0.8, 0.2, 0]","[0.38, 0.62, 0]","[0.12, 0.88, 0]","[0.37, 0.63, 0]","[0, 0.86, 0.14]","[0.15, 0.85, 0]","[1.0, 0, 0]"
Reyy,Barats,Jungler,"[0.39, 0.61, 0]","[0.13, 0.87, 0]","[0, 0, 1.0]","[1.0, 0, 0]","[0, 0.75, 0.25]","[0, 0.83, 0.17]","[1.0, 0, 0]"
1rrad,Fredrinn,Jungler,"[0.39, 0.61, 0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0.78, 0.22, 0]","[0, 0.82, 0.18]","[0.26, 0.74, 0]","[0.67, 0.33, 0]"
Reyy,Baxia,Jungler,"[0, 0.87, 0.13]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0, 0.18, 0.82]","[0, 0.49, 0.51]","[0, 0.76, 0.24]","[1.0, 0, 0]"
1rrad,Fredrinn,Jungler,"[0, 0.82, 0.18]","[0, 0.68, 0.32]","[0, 0, 1.0]","[0.22, 0.78, 0]","[0, 0, 1.0]","[0, 0.87, 0.13]","[0.34, 0.66, 0]"
Reyy,Fredrinn,Jungler,"[0.25, 0.75, 0]","[0, 0.79, 0.21]","[0, 0, 1.0]","[0, 0.75, 0.25]","[0.29, 0.71, 0]","[0.21, 0.79, 0]","[0.72, 0.28, 0]"
1rrad,Akai,Jungler,"[0.65, 0.35, 0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0.69, 0.31, 0]","[0.59, 0.41, 0]","[0.14, 0.86, 0]","[0, 0.9, 0.1]"
Gugunnn,Baxia,Jungler,"[0.45, 0.55, 0]","[0, 0.29, 0.71]","[0, 0, 1.0]","[0, 0.39, 0.61]","[0, 0.12, 0.88]","[0, 0.32, 0.68]","[1.0, 0, 0]"
Anavel,Akai,Jungler,"[0.59, 0.41, 0]","[0, 0.03, 0.97]","[0, 0, 1.0]","[1.0, 0, 0]","[0.16, 0.84, 0]","[0, 0.27, 0.73]","[0.17, 0.83, 0]"
Gugunnn,Baxia,Jungler,"[0.55, 0.45, 0]","[0.44, 0.56, 0]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0.38, 0.62, 0]","[0.33, 0.67, 0]","[1.0, 0, 0]"
Gugunnn,Baxia,Jungler,"[0.59, 0.41, 0]","[1.0, 0, 0]","[0.78, 0.22, 0]","[0.69, 0.31, 0]","[0.91, 0.09, 0]","[0.63, 0.37, 0]","[1.0, 0, 0]"
Kairi,Baxia,Jungler,"[0, 0.82, 0.18]","[0, 0.93, 0.07]","[0, 0, 1.0]","[0, 0.89, 0.11]","[0.34, 0.66, 0]","[0.55, 0.45, 0]","[0, 0.95, 0.05]"
Reyy,Fredrinn,Jungler,"[0.69, 0.31, 0]","[0.23, 0.77, 0]","[0, 0, 1.0]","[0.78, 0.22, 0]","[0.44, 0.56, 0]","[0.27, 0.73, 0]","[1.0, 0, 0]"
Kairi,Baxia,Jungler,"[0, 0.78, 0.22]","[0, 0.9, 0.1]","[0, 0, 1.0]","[0, 0.57, 0.43]","[0, 0.59, 0.41]","[0, 0.46, 0.54]","[1.0, 0, 0]"
Reyy,Fredrinn,Jungler,"[0.47, 0.53, 0]","[0, 0.78, 0.22]","[0, 0, 1.0]","[0, 1.0, 0.0]","[0, 0.25, 0.75]","[0, 0.72, 0.28]","[0, 0.95, 0.05]"
Kairi,Akai,Jungler,"[0.8, 0.2, 0]","[0.57, 0.43, 0]","[0.12, 0.88, 0]","[0, 0.89, 0.11]","[0.38, 0.62, 0]","[0, 0.69, 0.31]","[1.0, 0, 0]"
Reyy,Fredrinn,Jungler,"[0, 0.5, 0.5]","[0.2, 0.8, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.58, 0.42]","[0.09, 0.91, 0]","[0, 0.86, 0.14]"
Reyy,Barats,Jungler,"[0.29, 0.71, 0]","[0.0, 1.0, 0]","[0, 0, 1.0]","[0.25, 0.75, 0]","[0, 0.67, 0.33]","[0.15, 0.85, 0]","[0.83, 0.17, 0]"
Kairi,Baxia,Jungler,"[0, 0.78, 0.22]","[0.18, 0.82, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0.49, 0.51, 0]","[0.46, 0.54, 0]","[1.0, 0, 0]"
Reyy,Barats,Jungler,"[0.69, 0.31, 0]","[0.42, 0.58, 0]","[0.12, 0.88, 0]","[0, 0.89, 0.11]","[0.02, 0.98, 0]","[0, 0.87, 0.13]","[0, 0.97, 0.03]"
Super Kenn,Fredrinn,Jungler,"[0.8, 0.2, 0]","[0.53, 0.47, 0]","[0.12, 0.88, 0]","[0, 0, 1.0]","[0, 0.98, 0.02]","[0.26, 0.74, 0]","[1.0, 0, 0]"
Anavel,Baxia,Jungler,"[0, 0.89, 0.11]","[0.3, 0.7, 0]","[0, 0, 1.0]","[0, 0.85, 0.15]","[0, 0.96, 0.04]","[0, 0.9, 0.1]","[0.33, 0.67, 0]"
Anavel,Fredrinn,Jungler,"[0, 0.64, 0.36]","[0.15, 0.85, 0]","[0, 0, 1.0]","[0.4, 0.6, 0]","[0.54, 0.46, 0]","[0.34, 0.66, 0]","[0, 0.68, 0.32]"
Super Kenn,Baxia,Jungler,"[0.43, 0.57, 0]","[0.34, 0.66, 0]","[0, 0, 1.0]","[0.53, 0.47, 0]","[0.23, 0.77, 0]","[0.32, 0.68, 0]","[1.0, 0, 0]"
Anavel,Fredrinn,Jungler,"[0.74, 0.26, 0]","[0.26, 0.74, 0]","[0.12, 0.88, 0]","[0, 0.36, 0.64]","[0, 0.97, 0.03]","[0, 0.69, 0.31]","[1.0, 0, 0]"
Super Kenn,Baxia,Jungler,"[0.39, 0.61, 0]","[0.64, 0.36, 0]","[0.34, 0.66, 0]","[0, 0, 1.0]","[0.88, 0.12, 0]","[0.83, 0.17, 0]","[1.0, 0, 0]"
Super Kenn,Barats,Jungler,"[0.65, 0.35, 0]","[0.13, 0.87, 0]","[0, 0, 1.0]","[0.5, 0.5, 0]","[0, 0.85, 0.15]","[0.02, 0.98, 0]","[1.0, 0, 0]"
Reyy,Fredrinn,Jungler,"[0, 0, 1.0]","[0, 0.96, 0.04]","[0, 0, 1.0]","[0, 0.36, 0.64]","[0, 1.0, 0.0]","[0.17, 0.83, 0]","[0, 0.47, 0.53]"
Super Kenn,Barats,Jungler,"[0.33, 0.67, 0]","[0.22, 0.78, 0]","[0, 0, 1.0]","[0, 0.6, 0.4]","[0, 0.51, 0.49]","[0, 0.97, 0.03]","[0.49, 0.51, 0]"
Reyy,Fredrinn,Jungler,"[0, 0.14, 0.86]","[0, 0.92, 0.08]","[0, 0, 1.0]","[0, 0.21, 0.79]","[0, 0.81, 0.19]","[0, 0.89, 0.11]","[0.02, 0.98, 0]"
Super Kenn,Baxia,Jungler,"[0, 0.99, 0.01]","[0, 0.76, 0.24]","[0, 0, 1.0]","[0.03, 0.97, 0]","[0, 0.85, 0.15]","[0, 0.32, 0.68]","[1.0, 0, 0]"
Reyy,Fredrinn,Jungler,"[0, 0.96, 0.04]","[0, 0.58, 0.42]","[0, 0, 1.0]","[0, 0.96, 0.04]","[0.09, 0.91, 0]","[0, 0.83, 0.17]","[0.18, 0.82, 0]"
Kairi,Baxia,Jungler,"[0, 0.57, 0.43]","[0.42, 0.58, 0]","[0, 0, 1.0]","[0, 0.75, 0.25]","[0, 0.83, 0.17]","[0.26, 0.74, 0]","[1.0, 0, 0]"
Anavel,Akai,Jungler,"[0.8, 0.2, 0]","[0.74, 0.26, 0]","[0.56, 0.44, 0]","[0.37, 0.63, 0]","[0.88, 0.12, 0]","[0.11, 0.89, 0]","[1.0, 0, 0]"
Anavel,Ling,Jungler,"[0.69, 0.31, 0]","[0.68, 0.32, 0]","[0.34, 0.66, 0]","[0.37, 0.63, 0]","[0.41, 0.59, 0]","[1.0, 0, 0]","[1.0, 0, 0]"
Anavel,Baxia,Jungler,"[0.86, 0.14, 0]","[0.26, 0.74, 0]","[0, 0, 1.0]","[0.47, 0.53, 0]","[0, 0.86, 0.14]","[0, 0.75, 0.25]","[1.0, 0, 0]"
Reyy,Fredrinn,Jungler,"[0, 0.35, 0.65]","[0, 0.67, 0.33]","[0, 0, 1.0]","[0.15, 0.85, 0]","[0.29, 0.71, 0]","[0.28, 0.72, 0]","[0, 0.56, 0.44]"
Reyy,Fredrinn,Jungler,"[0.94, 0.06, 0]","[0.67, 0.33, 0]","[0.34, 0.66, 0]","[0.69, 0.31, 0]","[0.68, 0.32, 0]","[0.48, 0.52, 0]","[1.0, 0, 0]"
Reyy,Fredrinn,Jungler,"[0, 0.5, 0.5]","[0, 0.84, 0.16]","[0, 0, 1.0]","[0, 0.89, 0.11]","[0.59, 0.41, 0]","[0.56, 0.44, 0]","[0, 0, 1.0]"
Anavel,Fredrinn,Jungler,"[0.25, 0.75, 0]","[0, 0.9, 0.1]","[0, 0, 1.0]","[0.34, 0.66, 0]","[0, 0.84, 0.16]","[0, 0.7, 0.3]","[0, 0.87, 0.13]"
Reyy,Ling,Jungler,"[0.39, 0.61, 0]","[0, 0.09, 0.91]","[0, 0, 1.0]","[0, 0.5, 0.5]","[0, 0.4, 0.6]","[0.71, 0.29, 0]","[0, 0.64, 0.36]"
Reyy,Fredrinn,Jungler,"[0, 0.85, 0.15]","[0, 0.15, 0.85]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0, 0.61, 0.39]","[0, 0, 1.0]","[0, 0.93, 0.07]"
Kairi,Fredrinn,Jungler,"[0.74, 0.26, 0]","[0.03, 0.97, 0]","[0, 0, 1.0]","[0.34, 0.66, 0]","[0.0, 1.0, 0]","[0, 0.76, 0.24]","[0, 0.52, 0.48]"
Kairi,Fredrinn,Jungler,"[0.39, 0.61, 0]","[0, 0.62, 0.38]","[0, 0, 1.0]","[0.28, 0.72, 0]","[0, 0.52, 0.48]","[0, 0.8, 0.2]","[0.33, 0.67, 0]"
Anavel,Ling,Jungler,"[0.08, 0.92, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0, 0.17, 0.83]","[0.57, 0.43, 0]","[0, 0.7, 0.3]"
Kairi,Ling,Jungler,"[0.76, 0.24, 0]","[0, 0.81, 0.19]","[0, 0, 1.0]","[0, 0, 1.0]","[0.1, 0.9, 0]","[0.77, 0.23, 0]","[1.0, 0, 0]"
Anavel,Fredrinn,Jungler,"[0, 0.99, 0.01]","[0.04, 0.96, 0]","[0, 0, 1.0]","[0.4, 0.6, 0]","[0.0, 1.0, 0]","[0, 0.76, 0.24]","[0, 0.52, 0.48]"
Anavel,Fredrinn,Jungler,"[0, 0.64, 0.36]","[0, 0.83, 0.17]","[0, 0, 1.0]","[0, 0.32, 0.68]","[0, 0.8, 0.2]","[0, 0.8, 0.2]","[0, 0.94, 0.06]"
Kairi,Baxia,Jungler,"[0, 0.99, 0.01]","[0.15, 0.85, 0]","[0, 0, 1.0]","[0.34, 0.66, 0]","[0.42, 0.58, 0]","[0.3, 0.7, 0]","[0.78, 0.22, 0]"
Anavel,Fredrinn,Jungler,"[1.0, 0, 0]","[0.65, 0.35, 0]","[0.34, 0.66, 0]","[0.15, 0.85, 0]","[1.0, 0, 0]","[0.28, 0.72, 0]","[1.0, 0, 0]"
Aboy,Faramis,Midlane,"[0, 0.09, 0.91]","[0.48, 0.52, 0]","[0.54, 0.46, 0]","[0, 0.29, 0.71]","[0.41, 0.59, 0]","[0.2, 0.8, 0]","[0, 0.49, 0.51]"
Clayyy,Valentina,Midlane,"[0.81, 0.19, 0]","[1.0, 0, 0]","[1.0, 0, 0]","[0, 0, 1.0]","[0.93, 0.07, 0]","[0, 0.96, 0.04]","[1.0, 0, 0]"
Clayyy,Luo Yi,Midlane,"[0.76, 0.24, 0]","[0.44, 0.56, 0]","[0.31, 0.69, 0]","[0, 0, 1.0]","[0.22, 0.78, 0]","[0, 0.95, 0.05]","[1.0, 0, 0]"
Aboy,Luo Yi,Midlane,"[0.57, 0.43, 0]","[0.21, 0.79, 0]","[0, 0, 1.0]","[0.25, 0.75, 0]","[0.24, 0.76, 0]","[0, 0.58, 0.42]","[0.43, 0.57, 0]"
Aboy,Faramis,Midlane,"[0.58, 0.42, 0]","[0, 0.93, 0.07]","[0, 0, 1.0]","[0, 0.24, 0.76]","[0, 0.81, 0.19]","[0, 0.28, 0.72]","[0, 0.69, 0.31]"
Clayyy,Luo Yi,Midlane,"[0, 0.59, 0.41]","[0, 0.76, 0.24]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.6, 0.4]","[0, 0.92, 0.08]","[0, 0.47, 0.53]"
Clayyy,Luo Yi,Midlane,"[0.64, 0.36, 0]","[0, 0.92, 0.08]","[0, 0, 1.0]","[0.37, 0.63, 0]","[0, 0.93, 0.07]","[0.01, 0.99, 0]","[0, 1.0, 0.0]"
Yehezkiel,Novaria,Midlane,"[0, 0.09, 0.91]","[0, 0.07, 0.93]","[0, 0, 1.0]","[0, 0.29, 0.71]","[0, 0, 1.0]","[0.53, 0.47, 0]","[0.09, 0.91, 0]"
Clawkun,Luo Yi,Midlane,"[0.28, 0.72, 0]","[0, 0.17, 0.83]","[0, 0, 1.0]","[0.06, 0.94, 0]","[0, 0.44, 0.56]","[0, 0.55, 0.45]","[0, 0.99, 0.01]"
Clawkun,Luo Yi,Midlane,"[0.61, 0.39, 0]","[0.45, 0.55, 0]","[0.08, 0.92, 0]","[0, 0.98, 0.02]","[0.43, 0.57, 0]","[0.2, 0.8, 0]","[0, 0.39, 0.61]"
Yehezkiel,Novaria,Midlane,"[0.86, 0.14, 0]","[0.85, 0.15, 0]","[0.77, 0.23, 0]","[0.69, 0.31, 0]","[1.0, 0, 0]","[0.96, 0.04, 0]","[1.0, 0, 0]"
Clawkun,Luo Yi,Midlane,"[0.28, 0.72, 0]","[0.72, 0.28, 0]","[0.54, 0.46, 0]","[0.3, 0.7, 0]","[0.81, 0.19, 0]","[0.72, 0.28, 0]","[1.0, 0, 0]"
Aboy,Luo Yi,Midlane,"[0.43, 0.57, 0]","[0.13, 0.87, 0]","[0, 0, 1.0]","[0, 0.78, 0.22]","[0.53, 0.47, 0]","[0, 0.79, 0.21]","[1.0, 0, 0]"
Sanz,Pharsa,Midlane,"[0.07, 0.93, 0]","[0, 0.94, 0.06]","[0, 0, 1.0]","[0.14, 0.86, 0]","[0.22, 0.78, 0]","[0, 0.93, 0.07]","[1.0, 0, 0]"
Aboy,Novaria,Midlane,"[0, 0.09, 0.91]","[0, 0.47, 0.53]","[0, 0, 1.0]","[0, 0.29, 0.71]","[0, 0.79, 0.21]","[0.81, 0.19, 0]","[0, 0, 1.0]"
Sanz,Faramis,Midlane,"[0.86, 0.14, 0]","[0.49, 0.51, 0]","[0.31, 0.69, 0]","[0.06, 0.94, 0]","[0.35, 0.65, 0]","[0, 0.18, 0.82]","[1.0, 0, 0]"
Aboy,Novaria,Midlane,"[0, 0.72, 0.28]","[0.13, 0.87, 0]","[0, 0, 1.0]","[0, 0.83, 0.17]","[0.21, 0.79, 0]","[0.46, 0.54, 0]","[0, 0.29, 0.71]"
Sanz,Luo Yi,Midlane,"[0.14, 0.86, 0]","[0, 0.92, 0.08]","[0, 0, 1.0]","[0, 0.68, 0.32]","[0, 0.85, 0.15]","[0.1, 0.9, 0]","[0, 0.78, 0.22]"
Aboy,Novaria,Midlane,"[0.64, 0.36, 0]","[0, 0.95, 0.05]","[0, 0, 1.0]","[0, 0.44, 0.56]","[0.39, 0.61, 0]","[0.25, 0.75, 0]","[0.77, 0.23, 0]"
Sanz,Pharsa,Midlane,"[0.14, 0.86, 0]","[0, 1.0, 0.0]","[0, 0, 1.0]","[0.06, 0.94, 0]","[0, 0.84, 0.16]","[0.66, 0.34, 0]","[0, 0.94, 0.06]"
Aboy,Faramis,Midlane,"[0.57, 0.43, 0]","[0.42, 0.58, 0]","[0.08, 0.92, 0]","[0.06, 0.94, 0]","[0.52, 0.48, 0]","[0, 0.27, 0.73]","[0, 0.85, 0.15]"
Moreno,Valentina,Midlane,"[0.64, 0.36, 0]","[0.6, 0.4, 0]","[0.31, 0.69, 0]","[0, 0, 1.0]","[0.71, 0.29, 0]","[0.24, 0.76, 0]","[0.82, 0.18, 0]"
Clawkun,Novaria,Midlane,"[0, 0.18, 0.82]","[0.11, 0.89, 0]","[0, 0, 1.0]","[0, 0.29, 0.71]","[0.35, 0.65, 0]","[1.0, 0, 0]","[0, 0.61, 0.39]"
Moreno,Pharsa,Midlane,"[0.57, 0.43, 0]","[0.59, 0.41, 0]","[0.31, 0.69, 0]","[0.06, 0.94, 0]","[0.52, 0.48, 0]","[0.57, 0.43, 0]","[1.0, 0, 0]"
Clawkun,Valentina,Midlane,"[0, 0.72, 0.28]","[0.23, 0.77, 0]","[0, 0, 1.0]","[0.26, 0.74, 0]","[0.66, 0.34, 0]","[0.39, 0.61, 0]","[0, 0.81, 0.19]"
Clawkun,Novaria,Midlane,"[0, 0.91, 0.09]","[0.17, 0.83, 0]","[0.08, 0.92, 0]","[0, 0.98, 0.02]","[0, 0.97, 0.03]","[0.62, 0.38, 0]","[0.2, 0.8, 0]"
Clawkun,Valentina,Midlane,"[0, 0.82, 0.18]","[0.47, 0.53, 0]","[0.31, 0.69, 0]","[0, 0.49, 0.51]","[0.73, 0.27, 0]","[0.5, 0.5, 0]","[0, 0.67, 0.33]"
Moreno,Valentina,Midlane,"[0.74, 0.26, 0]","[0.39, 0.61, 0]","[0.08, 0.92, 0]","[0.02, 0.98, 0]","[0.6, 0.4, 0]","[0, 0.82, 0.18]","[0, 0.99, 0.01]"
Aboy,Luo Yi,Midlane,"[0, 0.72, 0.28]","[0.12, 0.88, 0]","[0, 0, 1.0]","[0, 0.24, 0.76]","[0, 0.91, 0.09]","[0, 0.93, 0.07]","[0, 0.9, 0.1]"
